iter	Passed	Remaining
909	1494	147
910	1495	146
911	1497	144
912	1498	142
913	1500	141
914	1501	139
915	1503	137
916	1504	136
917	1506	134
918	1507	132
919	1508	131
920	1510	129
921	1511	127
922	1513	126
923	1515	124
924	1516	122
925	1518	121
926	1519	119
927	1521	118
928	1522	116
929	1523	114
930	1525	113
931	1526	111
932	1528	109
933	1529	108
934	1531	106
935	1532	104
936	1534	103
937	1535	101
938	1537	99
939	1538	98
940	1540	96
941	1541	94
942	1543	93
943	1544	91
944	1546	89
945	1547	88
946	1548	86
947	1550	85
948	1551	83
949	1553	81
950	1554	80
951	1556	78
952	1557	76
953	1559	75
954	1560	73
955	1562	71
956	1563	70
957	1565	68
958	1566	66
959	1568	65
960	1569	63
961	1571	62
962	1572	60
963	1573	58
964	1575	57
965	1576	55
966	1578	53
967	1579	52
968	1581	50
969	1582	48
970	1584	47
971	1585	45
972	1587	44
973	1588	42
974	1590	40
975	1591	39
976	1593	37
977	1594	35
978	1596	34
979	1597	32
980	1599	30
981	1601	29
982	1603	27
983	1604	26
984	1606	24
985	1607	22
986	1609	21
987	1610	19
988	1612	17
989	1613	16
990	1615	14
991	1616	13
992	1617	11
993	1619	9
994	1620	8
995	1622	6
996	1623	4
997	1625	3
998	1626	1
999	1628	0
